Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
-0.06152748, 07/18/2019 12:27:45.921, 0.3618622, -180.4926, -0.3997004
-0.1210031, 07/18/2019 12:27:45.938, 0.1136398, -180.5525, -0.4828653
-0.193631, 07/18/2019 12:27:45.951, 0.1731491, -180.5301, -0.3072709
-0.273771, 07/18/2019 12:27:45.966, -0.1253128, -180.6021, -0.4469201
-0.3563827, 07/18/2019 12:27:45.981, -0.00125885, -180.563, -0.2310699
-0.4380938, 07/18/2019 12:27:45.999, -0.1968384, -180.6518, -0.4368349
-0.5178744, 07/18/2019 12:27:46.011, -0.3039551, -180.6463, -0.321036
-0.5961194, 07/18/2019 12:27:46.026, -0.5795288, -180.6616, -0.2921643
-0.6740028, 07/18/2019 12:27:46.040, -1.09726, -180.6166, -0.09447402
-0.7532251, 07/18/2019 12:27:46.056, -1.467705, -180.4734, 0.3440344
-0.8328956, 07/18/2019 12:27:46.072, -2.10125, -180.3466, 0.6348092
-0.9147853, 07/18/2019 12:27:46.086, -3.30883, -180.1073, 1.186464
-0.9988638, 07/18/2019 12:27:46.101, -3.870506, -179.6284, 2.309967
-1.085135, 07/18/2019 12:27:46.117, -4.564705, -179.2839, 2.785372
-1.173503, 07/18/2019 12:27:46.131, -5.619507, -178.8574, 3.391201
-1.263726, 07/18/2019 12:27:46.146, -6.305351, -178.2601, 4.355781
-1.355558, 07/18/2019 12:27:46.161, -6.919441, -177.7144, 4.949793
-1.448663, 07/18/2019 12:27:46.175, -6.838646, -177.1472, 5.470778
-1.542572, 07/18/2019 12:27:46.191, -7.974472, -176.778, 5.296073
-1.636818, 07/18/2019 12:27:46.206, -8.295822, -176.0048, 6.337654
-1.730843, 07/18/2019 12:27:46.220, -8.650703, -175.4296, 6.564979
-1.824084, 07/18/2019 12:27:46.237, -9.521599, -174.8248, 6.82662
-1.915965, 07/18/2019 12:27:46.252, -10.5209, -174.0217, 7.605633
-2.005829, 07/18/2019 12:27:46.266, -11.37714, -173.1127, 8.515068
-2.093192, 07/18/2019 12:27:46.282, -12.22996, -172.1807, 9.283952
-2.177548, 07/18/2019 12:27:46.297, -13.11184, -171.1885, 10.05241
-2.2583, 07/18/2019 12:27:46.312, -13.72547, -170.1248, 10.85354
