Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
-17.41725, 07/18/2019 02:07:26.598, -17.76901, -2.128442, 1.399639
-17.3125, 07/18/2019 02:07:26.612, -16.7799, -2.375365, 0.4565125
-17.22827, 07/18/2019 02:07:26.625, -16.60418, -2.459119, -0.44837
-17.16355, 07/18/2019 02:07:26.639, -16.30829, -2.3978, -0.55937
-17.11634, 07/18/2019 02:07:26.653, -16.6864, -2.446561, -0.8080559
-17.08599, 07/18/2019 02:07:26.667, -16.00628, -2.35027, -0.3995838
-17.07199, 07/18/2019 02:07:26.681, -16.68016, -2.534689, -1.06571
-17.07291, 07/18/2019 02:07:26.694, -16.75341, -2.346013, -0.3927498
-17.0882, 07/18/2019 02:07:26.710, -18.28079, -2.40813, -0.3347969
-17.11784, 07/18/2019 02:07:26.722, -18.11136, -2.111349, 1.162956
-17.16067, 07/18/2019 02:07:26.737, -18.38053, -2.287611, 0.9506893
-17.21594, 07/18/2019 02:07:26.752, -19.06666, -2.207243, 1.164587
-17.28369, 07/18/2019 02:07:26.765, -18.48707, -2.083303, 1.782969
-17.36244, 07/18/2019 02:07:26.780, -18.1212, -2.252845, 1.12463
-17.451, 07/18/2019 02:07:26.792, -17.62579, -2.262159, 0.6702061
-17.54811, 07/18/2019 02:07:26.807, -17.21117, -2.327589, 0.0776825
-17.65119, 07/18/2019 02:07:26.821, -16.79724, -2.373065, -0.4400196
-17.75784, 07/18/2019 02:07:26.835, -16.82064, -2.434844, -0.9606075
-17.86497, 07/18/2019 02:07:26.849, -16.62827, -2.414736, -1.044329
-17.96865, 07/18/2019 02:07:26.864, -16.86567, -2.483637, -1.340384
-18.0648, 07/18/2019 02:07:26.878, -16.71358, -2.445904, -1.199131
-18.14867, 07/18/2019 02:07:26.890, -16.94447, -2.52757, -1.435089
-18.21583, 07/18/2019 02:07:26.906, -17.50294, -2.49277, -1.271368
-18.26164, 07/18/2019 02:07:26.920, -17.62659, -2.42394, -0.7587032
-18.28065, 07/18/2019 02:07:26.933, -17.79814, -2.466074, -0.6540565
-18.26881, 07/18/2019 02:07:26.948, -19.20324, -2.449243, -0.4706745
-18.22239, 07/18/2019 02:07:26.962, -18.36021, -2.176753, 0.9808483
-18.13662, 07/18/2019 02:07:26.976, -19.75519, -2.463266, 0.2235947
-18.00835, 07/18/2019 02:07:26.990, -18.96172, -2.070261, 1.746841
-17.83606, 07/18/2019 02:07:27.004, -18.77352, -2.323946, 1.125652
-17.61644, 07/18/2019 02:07:27.018, -18.28445, -2.237109, 1.15708
-17.34754, 07/18/2019 02:07:27.032, -18.13248, -2.267282, 0.9369125
-17.02967, 07/18/2019 02:07:27.046, -18.14175, -2.196203, 1.102802
-16.6614, 07/18/2019 02:07:27.059, -17.40915, -2.11791, 1.480347
-16.24192, 07/18/2019 02:07:27.073, -17.38277, -2.196981, 1.167229
-15.77309, 07/18/2019 02:07:27.088, -16.69905, -2.056044, 1.609681
-15.25521, 07/18/2019 02:07:27.102, -17.31834, -2.109339, 1.443841
-14.68898, 07/18/2019 02:07:27.117, -16.00691, -1.826123, 2.629369
-14.07783, 07/18/2019 02:07:27.132, -16.50026, -2.048103, 1.92908
-13.42413, 07/18/2019 02:07:27.146, -16.04788, -1.711268, 3.076137
-12.73035, 07/18/2019 02:07:27.160, -16.91151, -1.728732, 3.317526
-12.00232, 07/18/2019 02:07:27.175, -16.6186, -1.373511, 4.909187
-11.245, 07/18/2019 02:07:27.189, -16.59342, -1.361022, 5.373594
-10.46364, 07/18/2019 02:07:27.205, -16.33026, -1.167598, 6.129773
-9.666265, 07/18/2019 02:07:27.219, -15.6146, -1.037282, 6.663997
-8.860294, 07/18/2019 02:07:27.234, -14.24646, -0.9674219, 6.754311
-8.054088, 07/18/2019 02:07:27.250, -13.40693, -0.9854788, 6.192376
-7.256319, 07/18/2019 02:07:27.264, -12.96638, -0.8397208, 6.150606
-6.475368, 07/18/2019 02:07:27.278, -11.21527, -0.6684867, 6.491017
-5.721049, 07/18/2019 02:07:27.292, -10.06731, -0.8053058, 5.494218
-5.000107, 07/18/2019 02:07:27.307, -8.933315, -0.7059267, 5.067204
-4.319359, 07/18/2019 02:07:27.320, -8.139095, -0.676112, 4.613956
-3.687034, 07/18/2019 02:07:27.333, -6.477013, -0.5909088, 4.452061
