World Time ,Experiment Time ,Trial# , SteamVR X ,SteamVR Y ,SteamVR Z , SteamVR Velocity, OptiTrack Rigidbody X,OptiTrack Rigidbody Y,OptiTrack Rigidbody Z, OptiTrack Rigidbody Velocity
8/7/2020 2:40:52 PM,2452.568,1,-6.361108E-14,-2.134434E-06,-3.415094E-06,-2.938703E-05,291.8096,221.8637,163.2462,0.1397059
8/7/2020 2:40:52 PM,2452.574,1,-6.361108E-14,-2.134434E-06,-3.415094E-06,-3.04092E-05,291.8048,221.8656,163.2407,-0.2429348
8/7/2020 2:40:52 PM,2452.579,1,-6.361108E-14,-2.134434E-06,-3.415094E-06,-3.150503E-05,291.8057,221.8658,163.2421,-0.03040541
8/7/2020 2:40:52 PM,2452.585,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,-4.561379E-05,291.7972,221.8573,163.2502,-0.1217391
8/7/2020 2:40:52 PM,2452.592,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,-4.408056E-05,291.8047,221.8687,163.2377,0.1381302
8/7/2020 2:40:52 PM,2452.598,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,-1.43322E-05,291.8017,221.8584,163.2509,-0.1752049
8/7/2020 2:40:52 PM,2452.604,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,-1.421568E-05,291.8017,221.8644,163.2442,-0.04014228
8/7/2020 2:40:52 PM,2452.61,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,-1.376794E-05,291.8084,221.8553,163.2526,-0.3356299
8/7/2020 2:40:52 PM,2452.616,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,0,291.809,221.8582,163.2499,0.02805118
8/7/2020 2:40:52 PM,2452.621,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,0,291.8033,221.8546,163.2553,-0.4868698
8/7/2020 2:40:52 PM,2452.627,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,0,291.8047,221.8524,163.2564,-0.2090336
8/7/2020 2:40:52 PM,2452.632,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,0,291.8018,221.8627,163.2457,-0.0625
8/7/2020 2:40:52 PM,2452.638,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,0,291.7996,221.8672,163.2401,0.4243421
8/7/2020 2:40:52 PM,2452.643,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,0,291.8056,221.8553,163.2537,-0.107545
8/7/2020 2:40:52 PM,2452.649,1,-6.36111E-14,-2.134434E-06,-3.415095E-06,1.533796E-05,291.8074,221.8638,163.2462,0.3322369
8/7/2020 2:40:52 PM,2452.654,1,-6.36111E-14,-2.134434E-06,-3.415095E-06,1.57525E-05,291.8066,221.8677,163.24,0.5647523
8/7/2020 2:40:52 PM,2452.659,1,-6.36111E-14,-2.134434E-06,-3.415095E-06,1.58957E-05,291.8088,221.86,163.2491,-0.1005682
8/7/2020 2:40:52 PM,2452.671,1,-7.63333E-14,-2.561321E-06,-3.415094E-06,0,291.8009,221.8563,163.2517,-0.3296296
